global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
33616,episode_end,199.80700926461452,110,0.18598326803523849,200.0,,,,,
33932,episode_end,50.24313138020071,316,0.1893201449396404,200.0,,,,,
34000,train_step,,,0.1884051447913927,200.0,34000,34.58869934082031,-2.622187852859497,2.202058792114258,0.337268590927124
34932,episode_end,104.14948833879698,1000,0.18999368740432782,200.0,,,,,
35000,train_step,,,0.18987989381624842,200.0,35000,30.794116973876953,-3.7583963871002197,2.0682826042175293,0.11344213783740997
35060,episode_end,8.910840888357257,128,0.18955566538698093,200.0,,,,,
35178,episode_end,12.11066101353316,118,0.18835990301996175,200.0,,,,,
35255,episode_end,233.9264505799527,77,0.18896212115907715,200.0,,,,,
35407,episode_end,49.48954733030291,152,0.18757106958493378,200.0,,,,,
36000,train_step,,,0.19175028107128167,200.0,36000,246.33816528320312,3.857360601425171,2.0972907543182373,0.1606818586587906
36407,episode_end,125.8628937389492,1000,0.18964214910313174,200.0,,,,,
36795,episode_end,-51.244064055642966,388,0.192132373480405,200.0,,,,,
36886,episode_end,17.863035854675374,91,0.1918185443785521,200.0,,,,,
36999,episode_end,180.97084352506016,113,0.19147094187396232,200.0,,,,,
37000,train_step,,,0.19149928779907116,200.0,37000,44.707557678222656,-8.991857528686523,1.9003137350082397,-0.1647685170173645
37138,episode_end,-56.65906728347595,139,0.19131705718871986,200.0,,,,,
37299,episode_end,-33.00307914478218,161,0.19317431976637642,200.0,,,,,
37429,episode_end,-33.53400355599872,130,0.19418766651850636,200.0,,,,,
37571,episode_end,179.5236302595348,142,0.19689449126350342,200.0,,,,,
37695,episode_end,213.48753694248006,124,0.19750040146711598,200.0,,,,,
37824,episode_end,-0.8520363339811894,129,0.19673299607233616,200.0,,,,,
37943,episode_end,224.45953878789055,119,0.1976014206549743,200.0,,,,,
38000,train_step,,,0.19718103957049102,200.0,38000,140.82571411132812,-14.313087463378906,1.8429045677185059,-0.25506556034088135
38106,episode_end,240.5066615037693,163,0.19593647090033797,200.0,,,,,
39000,train_step,,,0.19356465080528296,200.0,39000,69.71661376953125,-6.1697587966918945,2.0049026012420654,0.008050765842199326
39106,episode_end,137.0034114432894,1000,0.19512553048183562,200.0,,,,,
39246,episode_end,60.0849317799771,140,0.19840656402370666,200.0,,,,,
39911,episode_end,-263.6978163204735,665,0.20118437570865175,200.0,,,,,
40000,train_step,,,0.20178245238479464,200.0,40000,30.67957878112793,1.6858879327774048,2.1041605472564697,0.16671568155288696
40028,episode_end,176.86551423486088,117,0.20181236312439108,200.0,,,,,
41000,train_step,,,0.198184699563934,200.0,41000,57.75014114379883,-6.146175384521484,2.0904948711395264,0.14647090435028076
41028,episode_end,93.69034979626511,1000,0.19848160336992152,200.0,,,,,
42000,train_step,,,0.1898911577379882,200.0,42000,45.07807159423828,-1.4579877853393555,1.7380552291870117,-0.4351699948310852
42028,episode_end,176.23958082794147,1000,0.18930089687571283,200.0,,,,,
42148,episode_end,11.135445326258377,120,0.18997848745469112,200.0,,,,,
42317,episode_end,-6.647753380726257,169,0.1896486968348012,200.0,,,,,
42480,episode_end,17.43220372467522,163,0.1893707285580757,200.0,,,,,
42568,episode_end,260.69845316210683,88,0.18979934987916983,200.0,,,,,
42688,episode_end,53.15990630388953,120,0.19053519206543906,200.0,,,,,
43000,train_step,,,0.19575803353468615,200.0,43000,35.795799255371094,-3.593571662902832,1.9745450019836426,-0.041513994336128235
